game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves,player_one_illegal_moves_details,player_two_illegal_moves_details
1749432187-9914,;1. e4 d5 2. exd5 c6 3. dxc6 e6 4. cxb7 Bxb7 5. Nf3 Nc6 6. Bb5 Nf6 7. O-O Qb6 8. Bxc6+ Bxc6 9. d4 Bd6 10. c4 Rd8 11. c5 Bxf3 12. Qxf3 Qb8 13. cxd6 O-O 14. Bf4 Qb6 15. Be5 Qxb2 16. Nd2 Qxd2 17. Bxf6 gxf6 18. Qxf6 Rxd6 19. Rad1 Qc2 20. Qg5+ Qg6 21. Qxg6+ hxg6 22. Rd3 Ra6 23. a3 Kg7 24. Rfd1 Rh8 25. d5 e5 26. d6 Rc8 27. d7 Rd8 28. Rd5 f6 29. Rd6 Ra5 30. R1d3 Rc5 31. g3 Kf7 32. Ra6 e4 33. Rdd6 Rc1+ 34. Kg2 Kg7 35. Rxf6 Rc2 36. Rxg6+ Kh7 37. Rge6 Rf8 38. Rxe4 Kg7 39. Rf4 Rxf4 40. gxf4 Rc3 41. Rxa7 Rf3 42. d8=Q+ Kg6 43. Qd6+ Kf5 44. Ra5+ Ke4 45. Qe5+ Kd3 46. Rd5+ Kc2 47. Qe2+ Kb3 48. Qxf3+ Kc4 49. Rd8 Kc5 50. Qc3+ Kb5 51. Rb8+ Ka4 52. Qb4#,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,52,52,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,52,4.518391132354736,52,0,[],[]
1749432190-7465,;1. e4 e5 2. Nf3 d5 3. exd5 Be7 4. Nxe5 Bf6 5. Nf3 c6 6. dxc6 bxc6 7. Bc4 Ne7 8. O-O a5 9. Re1 O-O 10. d4 Bf5 11. c3 c5 12. dxc5 Qxd1 13. Rxd1 Rc8 14. Be3 Na6 15. Bxa6 Bc2 16. Bxc8 Bxd1 17. Bb7 Rd8 18. Nbd2 Bxf3 19. Nxf3 Rb8 20. c6 Kf8 21. Ba7 Re8 22. c7 a4 23. Bb8 h6 24. Rd1 a3 25. bxa3 Bxc3 26. Rd8 g5 27. Rxe8+ Kxe8 28. c8=Q+ Nxc8 29. Bxc8 Ba5 30. Bd6 Kd8 31. Bf5 Ke8 32. Bb4 Bc7 33. a4 Bb8 34. a5 Bf4 35. a6 f6 36. a7 Bxh2+ 37. Kxh2 Kd8 38. a8=Q+ Kc7 39. Qa7+ Kc6 40. Qc5+ Kb7 41. Be4+ Kb8 42. Qb6+ Kc8 43. Bf5#,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,43,43,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,43,3.3593862056732178,43,0,[],[]
1749432192-4572,;1. e4 e5 2. Nf3 Qe7 3. Bc4 c6 4. O-O b5 5. Bb3 d6 6. d4 Nd7 7. dxe5 Nc5 8. exd6 Qxd6 9. Qxd6 Bxd6 10. e5 Be7 11. Be3 Bf5 12. Nc3 Nxb3 13. axb3 a5 14. Nd4 Bg6 15. Nxc6 Bxc2 16. Nxb5 Bxb3 17. Nc7+ Kf8 18. Nxa8 Bd5 19. Nxe7 Bb7 20. Nc7 g5 21. Nxg8 Rxg8 22. Rxa5 Be4 23. Ra8+ Bxa8 24. Nxa8 f6 25. exf6 Kf7 26. Nc7 h6 27. Bd4 Rd8 28. Bc3 Rf8 29. Re1 h5 30. Re7+ Kg8 31. f7+ Rxf7 32. Rxf7 Kxf7 33. Nd5 h4 34. b4 Kf8 35. b5 Kf7 36. b6 g4 37. b7 Kf8 38. b8=Q+ Kf7 39. Qf4+ Ke8 40. Qxg4 Kd8 41. Qxh4+ Kc8 42. Qh7 Kb8 43. Be5+ Ka8 44. Nb6#,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,44,44,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,44,4.643858909606934,44,0,[],[]
1749432192-2133,;1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Bd7 6. Be3 g6 7. f3 Nc6 8. Qd2 a6 9. O-O-O Bg7 10. g4 b5 11. h4 Qa5 12. Kb1 Nxd4 13. Bxd4 b4 14. Nd5 Be6 15. Nxf6+ Bxf6 16. Bxf6 Qxa2+ 17. Kc1 Qa1#,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,17,17,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,18,1.6029648780822754,17,0,[],[]
1749432195-8849,;1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 Qb6 5. Bd3 Bxd3 6. Qxd3 a5 7. O-O Nd7 8. Nc3 Qa6 9. Qf5 g6 10. Qh3 Nb6 11. e6 f6 12. Bf4 Nc4 13. b3 Nb2 14. Rab1 Bg7 15. Rxb2 f5 16. Be5 Kf8 17. Bxg7+ Kxg7 18. Ne5 Nh6 19. Nd7 Ng4 20. f3 Ne3 21. Re1 Qa7 22. Rxe3 Qxd4 23. Qg3 Qxe3+ 24. Qf2 Qxc3 25. Rb1 h5 26. Re1 b5 27. Ne5 Rhf8 28. Qg3 Rf6 29. Nd7 f4 30. Qg5 Qxe1#,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,4,0,29,30,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,31,2.849341630935669,30,0,"[{'move_number': 23, 'attempted_move': 'Re1', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Re1' in r6r/1p1Np1kp/2p1P1p1/p2p1p2/3q4/1PN1RP1Q/PRP3PP/6K1 w - - 0 23"", 'attempt': 1}, {'move_number': 23, 'attempted_move': 'Re1', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Re1' in r6r/1p1Np1kp/2p1P1p1/p2p1p2/3q4/1PN1RP1Q/PRP3PP/6K1 w - - 0 23"", 'attempt': 2}, {'move_number': 23, 'attempted_move': 'Re1', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Re1' in r6r/1p1Np1kp/2p1P1p1/p2p1p2/3q4/1PN1RP1Q/PRP3PP/6K1 w - - 0 23"", 'attempt': 3}, {'move_number': 23, 'attempted_move': 'Re1', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Re1' in r6r/1p1Np1kp/2p1P1p1/p2p1p2/3q4/1PN1RP1Q/PRP3PP/6K1 w - - 0 23"", 'attempt': 4}]",[]
1749432195-6266,;1. e4 e6 2. d4 b6 3. Nf3 Nf6 4. Bd3 d5 5. e5 Ne4 6. O-O Bb7 7. Nbd2 Be7 8. Re1 O-O 9. Nxe4 dxe4 10. Bxe4 Bxe4 11. Rxe4 Nc6 12. c3 Qd5 13. Qe2 b5 14. Bg5 b4 15. Bxe7 Nxe7 16. c4 Qd7 17. Rd1 h6 18. d5 exd5 19. cxd5 c6 20. d6 Rad8 21. Rxb4 a5 22. Rbd4 Nd5 23. Qc4 Qb7 24. b3 Nb6 25. Qc5 Rfe8 26. Qxa5 Nd5 27. Qc5 Rxd6 28. exd6 Qa6 29. d7 Rf8 30. Ne5 Qxa2 31. Nxc6 Qxf2+ 32. Kxf2 Nb6 33. d8=Q f6 34. Qdxf8+ Kh7 35. Qf5+ g6 36. Q8xf6 gxf5 37. Qxf5+ Kh8 38. Rd8+ Kg7 39. R1d7# Nxd7 40. Rxd7+ Kh8 41. Qf8#,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,41,41,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,41,3.4222633838653564,41,0,[],[]
1749432198-3031,;1. e4 e6 2. d4 c5 3. d5 exd5 4. exd5 d6 5. c4 a6 6. Nc3 Nf6 7. Bg5 Be7 8. Nf3 Nbd7 9. Bd3 b5 10. cxb5 O-O 11. bxa6 h6 12. Bh4 Qb6 13. O-O Bd8 14. Qc2 Re8 15. Rfe1 Bxa6 16. Rxe8+ Nxe8 17. Bxd8 Qxd8 18. Bxa6 Nc7 19. Bd3 c4 20. Bxc4 Ne5 21. Nxe5 Ra5 22. Nc6 Ra8 23. Nxd8 Nxd5 24. Bxd5 Rxd8 25. Qf5 Rf8 26. Re1 g6 27. Qf6 g5 28. Re7 g4 29. Bxf7+ Rxf7 30. Qxf7+ Kh8 31. Qg7+,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,31,31,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,31,2.5035293102264404,31,0,[],[]
1749432198-8964,;1. e4 e6 2. d4 d6 3. Nf3 Nf6 4. Nc3 Nbd7 5. Bg5 Be7 6. Bd3 c6 7. O-O e5 8. dxe5 Nxe5 9. Nxe5 h6 10. Bxf6 dxe5 11. Bxe5 Qa5 12. Bxg7 Rg8 13. Bxh6 Bg4 14. f3 Bh3 15. Rf2 Bh4 16. g3 Rg6 17. Bf4 O-O-O 18. Qe2 Rdg8 19. Kh1 Qh5 20. gxh4 Bd7 21. Bg3 Rxg3 22. hxg3 Kb8 23. Rg2 Qe5 24. f4 Qe7 25. Rag1 Bg4 26. Qe3 b6 27. Be2 Bh3 28. Rh2 Be6 29. f5 Bd5 30. Nxd5 Qxh4 31. gxh4 Rxg1+ 32. Kxg1 b5 33. Ne7 Kb7 34. Qc5 Kc7 35. Qxc6+ Kb8 36. Qxb5+ Kc7 37. Qc6+ Kb8 38. Qc8#,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,38,38,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,38,2.890810251235962,38,0,[],[]
1749432200-4648,;1. e4 e6 2. d4 a6 3. Nf3 d5 4. e5 h6 5. Bd3 Bd7 6. O-O Bb5 7. Bxb5+ c6 8. Bd3 Ke7 9. c4 Ke8 10. cxd5 cxd5 11. Nc3 g5 12. Qa4+ b5 13. Bxb5+ axb5 14. Qxa8 b4 15. Nb5 b3 16. axb3 g4 17. Nd2 h5 18. Nd6+ Qxd6 19. exd6 Bh6 20. Qxb8+ Kd7 21. Ra7+ Kc6 22. Qc7+ Kb5 23. Qc5+,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,23,23,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,23,1.9319822788238525,23,0,[],[]
1749432201-5185,;1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d3 Be7 5. Nc3 a6 6. Nd5 Nf6 7. Nxe7 Nxe7 8. Bg5 Ng6 9. O-O O-O 10. h3 Qe8 11. Bxf6 gxf6 12. Nh2 b5 13. Bb3 Kg7 14. Qh5 a5 15. a3 Nf4 16. Qf3 Be6 17. Bxe6 fxe6 18. Qg4+ Ng6 19. f4 exf4 20. Rxf4 h5 21. Qg3 Rg8 22. Rf3 Kh8 23. Rxf6 b4 24. axb4 Qe7 25. Rxg6 Raf8 26. Rxg8+ Rxg8 27. Qf3 Rg5 28. Rxa5 Rg7 29. Rxh5+ Kg8 30. Ng4 Qf7 31. Nh6+ Kf8 32. Nxf7 Ke8 33. Ng5 Rxg5 34. Rxg5 e5 35. Rg7 Kd8 36. Qf8#,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,36,36,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,36,3.085326671600342,36,0,[],[]
1749432204-4506,;1. e4 c5 2. Nf3 e6 3. d4 a6 4. d5 Nf6 5. dxe6 dxe6 6. Qxd8+ Kxd8 7. Bg5 Kc7 8. Bxf6 b5 9. Be5+ Kb6 10. Bxb8 f6 11. Bg3 c4 12. Nc3 e5 13. O-O-O Kb7 14. Nd5 h5 15. h4 Be6 16. Be2 Rc8 17. c3 Bc5 18. Nd2 Bf8 19. f4 Bd6 20. fxe5 Bb8 21. exf6 g6 22. Bxb8 Rxb8 23. Nf4 Rbe8 24. Nxe6 Rhg8 25. Ng5 Rgf8 26. Rhf1 Ra8 27. f7 Rfc8 28. e5 Ka7 29. e6 Rf8 30. e7 Kb6 31. exf8=Q Rxf8 32. Ne6 Rh8 33. f8=Q a5 34. Qxh8 g5 35. Qd4+ Kb7 36. Rf7+ Kb8 37. Qd8#,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,37,37,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,37,2.9629359245300293,37,0,[],[]
1749432204-6342,;1. e4 e5 2. Nf3 d6 3. Bc4 Nc6 4. d3 Bg4 5. h3 Be6 6. Bxe6 fxe6 7. Ng5 Qe7 8. Qh5+ g6 9. Qg4 Nd8 10. Nc3 Nf6 11. Qf3 c5 12. Nb5 a6 13. Nc3 h6 14. Nxe6 Nxe6 15. Nd5 Nxd5 16. exd5 Nd4 17. Qd1 Qf7 18. c3 Nf5 19. Qa4+ Qd7 20. Qxd7+ Kxd7 21. O-O a5 22. a3 Ne7 23. c4 a4 24. Bd2 g5 25. Rab1 Rb8 26. b3 axb3 27. Rxb3 Rg8 28. Rfb1 Kc8 29. Rb6 Rg7 30. Rxd6 g4 31. hxg4 Rg6 32. Rxg6 Nxg6 33. Rb6 Nf4 34. Bxf4 exf4 35. Rf6 Be7 36. Rxf4 Kd7 37. Rf7 Ra8 38. Rh7 b5 39. cxb5 Rxa3 40. Rxh6 Bd6 41. Rh7+ Be7 42. Rh6 Rxd3 43. Rc6 Rxd5 44. Ra6 Rd1+ 45. Kh2 c4 46. Ra7+ Ke6 47. Ra6+ Bd6+ 48. Kh3 Rh1#,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,48,48,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,49,4.460121393203735,48,0,[],[]
1749432206-7258,;1. e4 Nf6 2. e5 Nd5 3. d4 e6 4. c4 Bb4+ 5. Bd2 Bxd2+ 6. Qxd2 Nb6 7. Nc3 d5 8. c5 N6d7 9. Nf3 O-O 10. Bd3 a5 11. O-O f6 12. exf6 Qxf6 13. Rfe1 Nc6 14. Nb5 e5 15. dxe5 Ndxe5 16. Nxe5 Nxe5 17. Nxc7 Bg4 18. Nxd5 Qd8 19. Rxe5 Rc8 20. Ne7+ Qxe7 21. Rxe7 Be6 22. Rxe6 Rf6 23. Rxf6 gxf6 24. Qh6 b5 25. Qxh7+ Kf8 26. Qh8+ Kf7 27. Qxc8 b4 28. Qd7+ Kf8 29. Re1 Kg8 30. Re8+,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,30,30,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,30,2.4293289184570312,30,0,[],[]
1749432208-2501,;1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Bd7 5. Nf3 Nc6 6. Be2 Qb6 7. O-O a6 8. a3 Rc8 9. b4 cxd4 10. cxd4 h6 11. Be3 Qd8 12. Nbd2 Nb8 13. Nb3 Bb5 14. Nc5 Bxc5 15. bxc5 Qd7 16. Rb1 Bxe2 17. Qxe2 Ne7 18. Rb6 Rc7 19. Rfb1 O-O 20. Qb2 Nbc6 21. Rxb7 Na5 22. Rxc7 Qxc7 23. Qb6 Qd8 24. Qxa6 Qc7 25. Bd2 Nc4 26. Bb4 Nc6 27. Qb5 Rd8 28. Qb7 Qxb7 29. Nd2 Qa6 30. Nxc4 Qxc4 31. Bd2 Qxd4 32. Be3 Qc3 33. Rc1 Qxe5 34. g3 Qe4 35. Re1 Nd4 36. Bd2 Qf5 37. Be3 Qe4 38. Bd2 Nf3+ 39. Kf1 Qd4 40. Re2 Qd3 41. Be3 d4 42. Bf4 Rd5 43. Kg2 Rh5 44. h4 Qxe2 45. Kh3 Qc2 46. Kg4 Qe2 47. Kxh5 Nh2+ 48. g4 Qxg4#,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,48,48,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,49,3.737921714782715,48,0,[],[]
1749432209-5933,;1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5 5. Nxf7 Bxf2+ 6. Kxf2 Nxe4+ 7. Ke1 Qh4+ 8. g3 Nxg3 9. hxg3 Qxh1+ 10. Ke2 Nd4+ 11. Kd3 Qxd1 12. Nxh8 Qf3#,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,12,12,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,13,1.0740535259246826,12,0,[],[]
1749432211-9208,;1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6 4. Nxc6 dxc6 5. d3 Bc5 6. Be2 Be6 7. O-O h6 8. Nc3 Qe7 9. Be3 Bxe3 10. fxe3 h5 11. d4 h4 12. e5 Ng8 13. Bg4 Nh6 14. Bxe6 fxe6 15. Qh5+ Kd8 16. Ne4 Kc8 17. Ng5 Kd7 18. Rf7 Nxf7 19. Qxf7 Qxf7 20. Nxf7 Rh5 21. Rf1 Ke7 22. g4 hxg3 23. hxg3 Rf8 24. g4 Rh3 25. Kg2 Rxe3 26. Ng5 Re2+ 27. Kg1 g6 28. Rxf8 Kxf8 29. Nxe6+ Kf7 30. Nxc7 Rxc2 31. e6+ Kf6 32. d5 Rc1+ 33. Kf2 Rc2+ 34. Ke3 cxd5 35. Nxd5+ Kxe6 36. Nf4+ Kd6 37. Nxg6 a5 38. Nf4 b6 39. Nd3 Rg2 40. Kf3 Rh2 41. Kg3 Rc2 42. g5 Rd2 43. Nf4 Rxb2 44. g6 Ke7 45. Kg4 a4 46. Kg5 a3 47. Kh6 Rxa2 48. g7 Kf7 49. Kh7 Rh2+ 50. Nh5 Rxh5#,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,50,50,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,51,4.535241365432739,50,0,[],[]
1749432212-2835,;1. e4 c6 2. d4 g6 3. Nc3 d5 4. e5 Bg7 5. f4 Nh6 6. Nf3 Qc7 7. Bd3 Qb6 8. O-O Bg4 9. Na4 Qa5 10. c3 b5 11. Nc5 Nd7 12. Nb3 Qb6 13. Be3 e6 14. Qd2 Qc7 15. h3 Bxf3 16. Rxf3 a6 17. Raf1 Bf8 18. g4 Kd8 19. f5 Ke8 20. fxe6 fxe6 21. Bxh6 a5 22. Bxf8 Nxf8 23. Qf4 a4 24. Nc5 Qe7 25. Qf7+ Qxf7 26. Rxf7 Nd7 27. Rxd7 Rb8 28. Rff7 h6 29. Bxg6 h5 30. Rb7 Ra8 31. Ra7 Rxa7 32. Rxa7+ Kd8 33. Ra8+ Kc7 34. Rxh8 b4 35. Rxh5 bxc3 36. bxc3 Kb6 37. Rh7 Ka5 38. Rb7 a3 39. Nb3+ Ka6 40. Rb4 Ka7 41. Nc5 Ka8 42. Be8 Ka7 43. Bxc6,1/2-1/2,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1/2,1/2,0,0,43,43,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,43,3.3727710247039795,43,0,[],[]
1749432215-3604,;1. e4 d5 2. exd5 Nf6 3. Nc3 a6 4. Bc4 g6 5. Nf3 b5 6. Bb3 Bb7 7. d4 Bg7 8. Bg5 Nbd7 9. O-O Nb6 10. Re1 O-O 11. Qd2 Re8 12. Bh6 Qd6 13. Bxg7 Kxg7 14. Ne5 h6 15. Re3 Bxd5 16. Nxd5 Nbxd5 17. Rh3 Ng8 18. Re1 Rad8 19. Re4 e6 20. Reh4 Rf8 21. Rxh6 c6 22. Rh7+ Kf6 23. Qf4+ Nxf4 24. Rf3 Qxd4 25. Rxf7+ Kg5 26. h4+ Kh6 27. Ng4+ Kh5 28. R7xf4 Rxf4 29. Rxf4 Qxf4 30. Bxe6 Rd1#,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,30,30,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,31,2.682018280029297,30,0,[],[]
