game_id,total_moves,analysis_timestamp,average_depth,total_nodes,total_time,blunders,mistakes,inaccuracies,best_moves,good_moves,suboptimal_moves,average_centipawn_loss,opening_accuracy,opening_blunders,opening_avg_complexity,middlegame_accuracy,middlegame_blunders,middlegame_avg_complexity,endgame_accuracy,endgame_blunders,endgame_avg_complexity,critical_moments,average_position_complexity,max_position_complexity,evaluation_volatility,original_game_id,original_result,original_player_one,original_player_two,original_player_one_time,original_player_two_time,original_player_one_score,original_player_two_score,original_player_one_illegal_moves,original_player_two_illegal_moves,original_player_one_legal_moves,original_player_two_legal_moves,original_player_one_resignation,original_player_two_resignation,original_player_one_failed_to_find_legal_move,original_player_two_failed_to_find_legal_move,original_game_title,original_number_of_moves,original_time_taken,original_total_moves,original_illegal_moves,original_player_one_illegal_moves_details,original_player_two_illegal_moves_details,original_source_file
1749431021-9759,103,2025-06-26T12:17:43.347367,27.058252427184467,15186291,7.0470000000000015,3,5,5,39,6,58,248.1747572815534,92.04166666666667,0,37.19605216299443,87.16666666666667,1,58.129393025122674,97.75510204081633,2,60.7067367710671,93,54.47783635386247,94.0,5791.248341978543,1749431021-9759,1-0,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,52,52,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,52,3.037716627120972,52,0,[],[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431023-3146,54,2025-06-26T12:17:48.893310,17.814814814814813,7956209,5.322000000000002,13,10,1,20,3,31,698.4074074074074,87.86666666666666,0,36.866973503289806,64.43589743589743,13,39.152374824647104,0.0,0,0.0,42,38.51754112427007,73.00000000000001,2355.658415600117,1749431023-3146,0-1,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,27,27,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,28,2.2086281776428223,27,0,[],[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431026-5196,70,2025-06-26T12:17:55.896659,22.614285714285714,10226840,6.753000000000001,22,8,4,32,5,33,1733.7571428571428,82.94117647058823,4,37.43802504734464,54.12903225806452,16,43.33543288795898,100.0,2,36.138250189957446,45,39.95689317266047,85.0,3965.6728173006845,1749431026-5196,0-1,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,35,35,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,36,2.603930950164795,35,0,[],[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431032-4153,180,2025-06-26T12:18:09.180210,15.094444444444445,27017483,12.982999999999999,79,8,13,60,8,112,696.6333333333333,96.84615384615384,0,31.770478162861846,86.26923076923077,6,39.69207127073267,53.276595744680854,73,39.92329771282987,163,39.30108359258481,67.0,953.700386393008,1749431032-4153,*,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0.5,0.5,0,0,90,90,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,91,5.788595676422119,90,0,[],[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431035-4740,91,2025-06-26T12:18:16.611333,31.934065934065934,12928067,7.077000000000002,6,2,2,36,6,49,255.78021978021977,97.6086956521739,0,33.69796287511821,84.61290322580645,2,51.99915578624138,94.43243243243244,4,58.83020410068435,67,50.15103876073101,88.00000000000001,5117.497802040999,1749431035-4740,1-0,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,46,46,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,46,2.886971950531006,46,0,[],[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431037-2979,87,2025-06-26T12:18:23.148609,19.735632183908045,12849559,6.216000000000001,4,2,5,34,3,50,88.71264367816092,92.0,0,37.29046275783566,93.75555555555556,0,60.75061585575172,82.86666666666666,4,65.0193434280222,80,58.986707694753115,82.0,2350.6546558645177,1749431037-2979,1-0,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1,0,3,0,43,44,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,44,2.4535181522369385,44,0,"[{'move_number': 36, 'attempted_move': 'Nd4+', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Nd4+' in 4N3/8/p1k1B1N1/1p6/8/3P4/PPP3PP/6KR w - - 3 36"", 'attempt': 1}, {'move_number': 36, 'attempted_move': 'Nf7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Nf7' in 4N3/8/p1k1B1N1/1p6/8/3P4/PPP3PP/6KR w - - 3 36"", 'attempt': 2}, {'move_number': 36, 'attempted_move': 'Nf5', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Nf5' in 4N3/8/p1k1B1N1/1p6/8/3P4/PPP3PP/6KR w - - 3 36"", 'attempt': 3}]",[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431042-3314,167,2025-06-26T12:18:36.057586,23.880239520958085,24792058,12.601,9,6,8,54,13,100,415.67664670658684,91.34285714285714,0,34.65979419479903,83.4047619047619,0,46.27344719865844,96.1,9,58.38176152777267,149,50.36488692611473,85.00000000000001,6077.719798429614,1749431042-3314,1/2-1/2,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1/2,1/2,0,0,84,84,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,84,5.0081751346588135,84,0,[],[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431045-4209,79,2025-06-26T12:18:42.300496,36.54430379746835,11231343,5.8569999999999975,0,6,3,21,2,56,19.164556962025316,87.18181818181819,0,34.57378995225733,82.29629629629629,0,59.04471418477737,100.0,0,57.125225113443754,63,48.3610332730242,94.0,4686.0694993082825,1749431045-4209,1-0,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,40,40,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,40,2.4414172172546387,40,0,[],[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431046-8918,30,2025-06-26T12:18:45.656080,21.433333333333334,4353333,3.131000000000001,6,5,3,19,1,10,1131.6666666666667,87.47826086956522,2,42.84258618686299,48.714285714285715,4,47.90438147094803,0.0,0,0.0,15,44.02367175314951,70.0,3151.7369294124505,1749431046-8918,0-1,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,15,15,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,16,1.1413161754608154,15,0,[],[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
1749431048-6412,56,2025-06-26T12:18:51.643612,14.946428571428571,8405003,5.740000000000002,7,6,10,24,4,28,600.875,87.54166666666667,0,34.9170829044367,70.46875,7,44.74457750088766,0.0,0,0.0,37,40.53279410240868,67.0,2310.823677858841,1749431048-6412,0-1,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0,1,3,0,27,28,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,29,2.1929967403411865,28,0,"[{'move_number': 12, 'attempted_move': 'Nc5', 'error_type': 'parse_error', 'error_message': ""ambiguous san: 'Nc5' in r1b1k2r/1ppqn1pp/1bn5/p4p2/4N3/1N1PB3/PPP1BPPP/R2Q1RK1 w kq - 0 12"", 'attempt': 1}, {'move_number': 12, 'attempted_move': 'Nc5', 'error_type': 'parse_error', 'error_message': ""ambiguous san: 'Nc5' in r1b1k2r/1ppqn1pp/1bn5/p4p2/4N3/1N1PB3/PPP1BPPP/R2Q1RK1 w kq - 0 12"", 'attempt': 2}, {'move_number': 12, 'attempted_move': 'Nc5', 'error_type': 'parse_error', 'error_message': ""ambiguous san: 'Nc5' in r1b1k2r/1ppqn1pp/1bn5/p4p2/4N3/1N1PB3/PPP1BPPP/R2Q1RK1 w kq - 0 12"", 'attempt': 3}]",[],adam_lichess_8layers_pt_vs_stockfish_sweep.csv
